Match type,Repository,Repository external URL
repo,github.com/isucon/isucon12-qualify,https://sourcegraph.com/github.com/isucon/isucon12-qualify
repo,github.com/rjarry/aerc,https://sourcegraph.com/github.com/rjarry/aerc
repo,github.com/anacrolix/torrent,https://sourcegraph.com/github.com/anacrolix/torrent
repo,github.com/dispatchrun/coroutine,https://sourcegraph.com/github.com/dispatchrun/coroutine
repo,github.com/google/go-containerregistry,https://sourcegraph.com/github.com/google/go-containerregistry
repo,github.com/loft-sh/devpod-provider-kubernetes,https://sourcegraph.com/github.com/loft-sh/devpod-provider-kubernetes
repo,github.com/xybor-x/enum,https://sourcegraph.com/github.com/xybor-x/enum
repo,github.com/oracle/oci-cloud-controller-manager,https://sourcegraph.com/github.com/oracle/oci-cloud-controller-manager
repo,github.com/GoogleCloudPlatform/prometheus,https://sourcegraph.com/github.com/GoogleCloudPlatform/prometheus
repo,github.com/NVIDIA/k8s-driver-manager,https://sourcegraph.com/github.com/NVIDIA/k8s-driver-manager
repo,github.com/Jaeyo/personal-archive,https://sourcegraph.com/github.com/Jaeyo/personal-archive
repo,github.com/zoedsoupe/exo,https://sourcegraph.com/github.com/zoedsoupe/exo
repo,github.com/bellshade/Golang,https://sourcegraph.com/github.com/bellshade/Golang
repo,github.com/carvel-dev/kbld,https://sourcegraph.com/github.com/carvel-dev/kbld
repo,github.com/dntosas/capi2argo-cluster-operator,https://sourcegraph.com/github.com/dntosas/capi2argo-cluster-operator
repo,github.com/200sc/bebop,https://sourcegraph.com/github.com/200sc/bebop
repo,github.com/yangjian102621/geekai,https://sourcegraph.com/github.com/yangjian102621/geekai
repo,github.com/TencentBlueKing/bk-hcm,https://sourcegraph.com/github.com/TencentBlueKing/bk-hcm
repo,github.com/esimov/triangle,https://sourcegraph.com/github.com/esimov/triangle
repo,github.com/peterhellberg/swapi,https://sourcegraph.com/github.com/peterhellberg/swapi
repo,github.com/medik8s/node-healthcheck-operator,https://sourcegraph.com/github.com/medik8s/node-healthcheck-operator
repo,github.com/lf-edge/ekuiper,https://sourcegraph.com/github.com/lf-edge/ekuiper
repo,github.com/kubevirt/common-instancetypes,https://sourcegraph.com/github.com/kubevirt/common-instancetypes
repo,github.com/IceFireDB/IceFireDB,https://sourcegraph.com/github.com/IceFireDB/IceFireDB
repo,github.com/liyiheng/zset,https://sourcegraph.com/github.com/liyiheng/zset
repo,github.com/gzydong/go-chat,https://sourcegraph.com/github.com/gzydong/go-chat
repo,github.com/openshift/cluster-openshift-apiserver-operator,https://sourcegraph.com/github.com/openshift/cluster-openshift-apiserver-operator
repo,github.com/go-musicfox/go-musicfox,https://sourcegraph.com/github.com/go-musicfox/go-musicfox
repo,github.com/dispatchrun/wazergo,https://sourcegraph.com/github.com/dispatchrun/wazergo
repo,github.com/PacktPublishing/Test-Driven-Development-in-Go,https://sourcegraph.com/github.com/PacktPublishing/Test-Driven-Development-in-Go
repo,github.com/alibaba/tengine-ingress,https://sourcegraph.com/github.com/alibaba/tengine-ingress
repo,github.com/valkyrie-fnd/valkyrie,https://sourcegraph.com/github.com/valkyrie-fnd/valkyrie
repo,github.com/mr-linch/go-tg,https://sourcegraph.com/github.com/mr-linch/go-tg
repo,github.com/kubevirt/cloud-provider-kubevirt,https://sourcegraph.com/github.com/kubevirt/cloud-provider-kubevirt
repo,github.com/smallstep/crypto,https://sourcegraph.com/github.com/smallstep/crypto
repo,github.com/mjl-/gopherwatch,https://sourcegraph.com/github.com/mjl-/gopherwatch
repo,github.com/algorand/conduit,https://sourcegraph.com/github.com/algorand/conduit
repo,github.com/cloudfoundry/dotnet-core-buildpack,https://sourcegraph.com/github.com/cloudfoundry/dotnet-core-buildpack
repo,github.com/go-go-golems/glazed,https://sourcegraph.com/github.com/go-go-golems/glazed
repo,github.com/lamearrangeme/treehole_next,https://sourcegraph.com/github.com/lamearrangeme/treehole_next
repo,github.com/vektra/mockery,https://sourcegraph.com/github.com/vektra/mockery
repo,github.com/davidrjenni/reftools,https://sourcegraph.com/github.com/davidrjenni/reftools
repo,github.com/GoogleContainerTools/kpt-config-sync,https://sourcegraph.com/github.com/GoogleContainerTools/kpt-config-sync
repo,github.com/autobrr/autobrr,https://sourcegraph.com/github.com/autobrr/autobrr
repo,github.com/kubernetes-sigs/prow,https://sourcegraph.com/github.com/kubernetes-sigs/prow
